Titlu,Descriere,Categorie
Cursuri de limba română pentru studenții internaționali de la UPT,"În perioada 10 octombrie-15 decembrie, la Biblioteca UPT, se desfășoară cea de-a patra ediție a Cursurilor de limba română pentru studenții internaționali. Aceștia vor avea posibilitatea să învețe cuvinte și expresii în limba română și să se familiarizeze cu istoria și cultura noastră. Cursurile vor fi susținute de studenții de la Facultatea de Științe ale [...]",DIDACTIC
Inaugurare bookshop@upt,"Începând de săptămâna aceasta, UPT va avea propriul brand shop. Acesta este situat în clădirea bibliotecii, la parter, cu acces dinspre str. Traian Lalescu. Bookshop@upt pune în vânzare cărțile Editurii Politehnica alături de o serie de materiale promoționale personalizate cu însemnele UPT, printre care, tricouri, rucsacuri, căni termos, memory stick-uri, insigne, sacoșe din material textil [...]",ALTE ANUNȚURI
Program de training de Antreprenoriat Creativ,"Universitatea Politehnica Timișoara în parteneriat cu Institutul Intercultural Timișoara organizează programul de training Creative Entrepreneurship (Antreprenoriat Creativ), în cadrul proiectului  InclusiveArt. Înscrierile pentru programul de training Creative Entrepreneurship se pot face până în 11 decembrie 2017. Obiectivul programului este să pregătească persoane tinere și creative pentru a crește potențialul comunităților locale și a grupurilor dezavantajate prin practici [...]",DIDACTIC
"Rectorul Universităţii Politehnica Timişoara, Doctor Honoris Causa al Universităţii Obuda","Rectorul Universităţii Politehnica Timişoara, prof.univ.dr.ing. Viorel-Aurel Şerban, a primit cea mai înaltă distincţie pe care o poate acorda o instituţie de învăţământ superior &#8211; titlul de Doctor Honoris Causa &#8211; din partea Universităţii Obuda din Budapesta. Mai multe detalii aici.",ALTE ANUNȚURI
Profesorul László MAKRA va preda la UPT,"In perioada 11 – 15.12.2017, Prof. univ. Dr. Habilitat László MAKRA de la Facultatea de Agricultură, Universitatea din Szeged, Ungaria, va efectua un stagiu de predare în cadrul Programului Erasmus+. În program sunt prevăzute sesiuni de cursuri pentru studenţii Facultăţilor de Mecanică şi Electrotehnică şi Electroenergetică, respectiv Chimie Industrială şi Ingineria Mediului. Programul de conferințe [...]",DIDACTIC
Conferinţă naţională de informatică medicală,"Conferinţa naţională a Societăţii Române de Informatică Medicală RoMedInf 2017, organizată în parteneriat cu Universitatea Politehnica Timişoara şi Universitatea de Medicină şi Farmacie &#8220;Victor Babeş&#8221; se va desfăşura joi, 23 noiembrie 2017, începând cu ora 9:00, în Amfiteatrul K1 al Centrului de Conferinţe al UPT, Bd Vasile Pârvan nr. 2.",CERCETARE - COOPERARE
Roboţeii defilează la Universitatea Politehnica Timişoara,"Având în vedere că în perioada 17 &#8211; 26 noiembrie se sărbătoreşte în toată lumea Săptămâna Internaţională a Roboticii, studenţii din Liga AC a Facultăţii de Automatică şi Calculatoare a Universităţii Politehnica Timişoara organizează, în zilele de 23 &#8211; 24 noiembrie, între orele 12 &#8211; 15, în holul Electro, prezentări de roboţi şi tot felul [...]",ALTE ANUNȚURI
Susținere teză de abilitare Codruța Ancuți,"Vineri, 24 Noiembrie 2017, începând cu ora 10:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Image Enhancing Techniques Based on Fusion“, elaborată de S.L. dr. ing. Codruța Orniana Ancuți, departamentul MEO, Facultatea ETCTI. Manifestarea va avea loc în Centrul de Conferințe UPT, amfiteatrul K2, B-dul Vasile Pârvan, nr. 2b.",EVENIMENT
EVALUAREA PROCESULUI DIDACTIC DE CATRE STUDENȚII UPT,"În perioada 20-29 Noiembrie se va realiza evaluarea procesului didactic de către studenți. În cadrul unui proiect pilot, anul acesta evaluarea se va desfășura și online, prin intermediul platformei electronice ee-PRO-D, dezvoltate în cadrul UPT. Selectarea disciplinelor pentru evaluare se va face la nivelul decanatelor facultăților, acestea punând la dispoziția studenților coduri specifice pentru fiecare [...]",ALTE ANUNȚURI
Bilanț campanie donare de sânge,"Campania de donare de sânge „O picătură pentru viaţă”, organizată de Universitatea Politehnica Timişoara în colaborare cu Centrul Regional de Transfuzie Sanguină Timişoara în perioada 13 &#8211; 17 noiembrire, încheie seria de manifestări din Săptămâna Politehnicii, ce a marcat împlinirea a 97 de ani de existenţă a UPT. Potrivit organizatorilor, Facultatea de Ştiinţe ale Comunicării [...]",ALTE ANUNȚURI
Lansare carte Alexandru Nichici,"Fundaţia Politehnica Timişoara şi Editura Uniunii Sârbilor din România organizează miercuri, 22 noiembrie, de la ora 16:00, în Sala Polivalentă a Bibliotecii Universităţii Politehnica Timişoara, Bd Vasile Pârvan nr. 2, lansarea volumului „Cu sinceritate despre tot: Povestea vieții mele” („Александар Никић, Искрено о свему: Моја животна прича”), având ca autor pe Alexandru Nichici, profesor universitar [...]",EVENIMENT
Premiul Renault pentru studenți de la UPT,"Facultatea de Mecanică, Specializarea de Autovehicule Rutiere,  a participat cu o echipă compusă din trei studenți din anul IV (Claudiu Roteliuc, Alexandru Timiș și Valentin Boroș) la faza națională a Concursului „Automotive &#8211; CAD” organizat de Renault Technologie Roumanie, Magic Engineering  și Societatea Inginerilor de Automobile din România, care a avut loc la Universitatea din Pitești [...]",ALTE ANUNȚURI
Editura Politehnica în haină nouă,"Editura Politehnica întâmpină Sărbătorile de iarnă în haină nouă: www.editurapolitehnica.upt.ro Pagina editurii se doreşte a fi o interfaţă eficientă pentru schimbul de informaţii cu autorii şi beneficiarii publicaţiilor, cu facilităţi de comandă de carte on-line şi acces direct la periodicele şi materialele care au statut de „open-access”. Mulţumim pe această cale celor care au colaborat [...]",INFORMATIZARE
Transport urban verde în Timișoara,"Universitatea Politehnica Timișoara în colaborare cu Clusterul de Energii Sustenabile din România- ROSENC a organizat, la Facultatea de Management în Producție și Transporturi, un workshop prevăzut în cadrul agendei de implementare a proiectului Electric, Electronic and Green Urban Transport Systems – eGUTS, cod proiect DTP1-1-454-3.1-eGUTS, proiect finanțat de către Uniunea Europeană prin programul INTERREG-Danube și [...]",CERCETARE - COOPERARE
Certificare burse Marie Curie,Foștii bursieri  Marie Skłodowska-Curie (FP7 sau H2020) pot obține  un certificat care să ateste acest lucru:  Marie Skłodowska-Curie Fellowship Certificate. Cererea de eliberare a certificatului se completează de un reprezentant al instituției finanțate (persoana de contact sau reprezentantul legal). Mai multe informații sunt disponibile aici.,CERCETARE - COOPERARE
Workshop de lansare a proiectului – LeanSusLab,"În data de 19.12.2017, între orele 17.00-18.00, la Facultatea Management în Producție și Transporturi (sala M104), are loc workshop-ul de lansare a proiectului LeanSusLab – Laboratorul didactic și de cercetare “Lean și Sustenabilitate”. Proiectul își propune crearea unui laborator educațional și de cercetare, cu accent pe conceptele lean și sustenabilitate, prin utilizarea și dezvoltarea jocurilor [...]",EVENIMENT
Profesori din UPT premiați de Academia Română,"Vineri 15.12.2017 a avut loc în Aula Academiei Române ceremonia de decernare a premiilor Academiei Române pe anul 2015, eveniment desfășurat în şedinţa solemnă a Adunării Generale a Academiei Române. Și în acest an Universitatea  Politehnica Timișoara a fost onorată cu un premiu obținut prin doi reprezentanți ai săi, profesorii Vasile Marinca și Nicolae Herișanu, care [...]",CERCETARE - COOPERARE
Premiile „Student Eminent” au ajuns la a XXII-a ediţie,"„Student Eminent”, evenimentul anual organizat de Asociaţia Orizonturi Universitare în parteneriat cu Consiliul Local al municipiului Timişoara şi cu filiala locală a Academiei Române, prin care se premiază studenţii şi tinerii cercetători din centrul universitar Timişoara, va avea loc luni, 18 decembrie 2017, la ora 19:00, în Amfiteatrul „Alexandru Rogojan” al Universităţii Politehnica Timişoara, clădirea [...]",EVENIMENT
UPT găzduieşte conferinţa Polul de Creștere Timişoara,"Universitatea Politehnica Timişoara este gazda conferinţei cu tema &#8220;Dezvoltare teritorială pe baza fondurilor nerambursabile dedicate Investiţiilor Teritoriale Integrate (ITI) şi Grupurilor Economice de Cooperare Transnaţională (GECT)&#8221;, organizată de Asociaţia de Dezvoltare Intercomunitară &#8220;Polul de Creștere Timişoara (ADI PCT)&#8221; în data de 18 decembrie 2017, începând cu ora 9:30, în amfiteatrul K1 al Centrului de Conferinţe [...]",ALTE ANUNȚURI
"Evaluarea cadrelor didactice şi a programelor de studii, la final","Evaluarea cadrelor didactice şi a programelor de studii din Universitatea Politehnica Timişoara de către studenţi, derulată în perioada 20 noiembrie &#8211; 8 decembrie 2017, s-a încheiat. În perioada de evaluare din acest semestru s-au primit peste 9.000 de răspunsuri, prin care au fost evaluate 413 cadre didactice (275 de titulari de curs şi 138 pentru [...]",DIDACTIC
Studenţii îşi aleg reprezentanţii în Senat şi consiliile facultăţilor,În perioada 10.12.2017 – 11.01.2018 se va desfășura procesul de alegeri parțiale pentru funcțiile de reprezentant al studenților în Senatul Universității Politehnica Timișoara și în Consiliile Facultăților din cadrul UPT. Vezi AICI detalii suplimentare şi calendarul alegerilor.,ALTE ANUNȚURI
„Legendele Timişoarei” se dezvăluie la UPT,"Cu istoria sa tumultuoasă, veche de secole, Timişoara nu putea fi ocolită de legende, de întâmplări controversate, pline de mister, unele de-a dreptul înfiorătoare. Cel care s-a ocupat, de-a lungul timpului, de culegerea acestor legende urbane, cunoscutul istoric timişorean Ioan Haţegan, lansează, în 13 decembrie, la ora 13:00, în Sala Senatului Universităţii Politehnica Timişoara, cel [...]",EVENIMENT
"Expoziția SIT WITH ME: scaunele, văzute prin ochii viitorilor arhitecți","Scaunele, într-o mare varietate de forme și idei cât se poate de originale, reprezintă subiectul expoziției realizate de studenții anului 6 de la Facultatea de Arhitectură și Urbanism a Universității Politehnica Timișoara, coordonați de cadrele didactice: arh. Cristina Maria Povian și arh. Mihai Donici. Lucrările realizate de studenți în cadrul Proiectului de Amenajări Interioare au [...]",EVENIMENT
POCU: Lansare apel de proiecte dedicat măsurilor de optimizare a ofertelor de studii din învăţământul superior în sprijinul angajabilităţii,"Ministerul Fondurilor Europene (MFE) a publicat Ghidul Solicitantului – Condiţii Specifice pentru apelul de proiecte MĂSURI DE OPTIMIZARE A OFERTELOR DE STUDII DIN ÎNVĂȚĂMÂNTUL SUPERIOR ÎN SPRIJINUL ANGAJABILITĂȚII, cu o alocare totală de aprox. 144,3 mil. euro prin Programul Operaţional Capital Uman (POCU). Valoarea eligibilă maximă a unui proiect este de 1.500.000 euro. Cererea de [...]",CERCETARE - COOPERARE
Apel Water Works 2017,"Programarea comună (JPI) a fost elaborată de Comisia Europeană (CE) în 2008, ca mijloc de avansare în formarea și realizarea Spațiului European de Cercetare (ERA). Pentru a susține și sprijini dezvoltarea schimbărilor sociale și pentru a facilita creșterea economică viitoare, este necesar să ne concentrăm în mod mai larg asupra unor teme prioritare selectate care [...]",CERCETARE - COOPERARE
Simpozion internațional la UPT,"În perioada 17-19 mai 2018 la Facultatea de Automatică și Calculatoare din cadrul Universității Politehnica Timișoara va avea loc 12th IEEE Internațional Symposium on Applied Computațional Intelligence and Informatics SACI 2018. Simpozionul este organizat de Universitatea Politehnica Timișoara, Facultatea de Automatică și Calculatoare, în colaborare cu Obuda University, Budapesta, Ungaria. Simpozionul SACI 2018 este cosponsorizat [...]",EVENIMENT
"Cercetarea științifică, la loc de frunte în UPT","Cercetarea științifică a ocupat, și în 2017, un loc de cinste în cadrul activităților derulate la Universitatea Politehnica Timișoara. În cursul anului 2017 au fost demarate/derulate sute de proiecte, în cadrul unor competiții interne, naționale, internaționale, au fost încheiate contracte cu mediul economic și au fost organizate conferințe internaționale de prestigiu. Mai multe detalii despre [...]",CERCETARE - COOPERARE
Oportunități de colaborare cu Nagoya Institute of Technology – Japonia,"În 9 ianuarie 2018, ora 11:00, în Amfiteatrul K1 al Centrului de Conferințe UPT, o delegație de la Nagoya Institute of Technology  (Japonia), va prezenta oportunitățile de colaborare în domeniile educației și al cercetării, al schimbului de studenți și de cadre didactice. La începutul anului 2017 a fost semnat un acord Erasmus+  în domeniul Ingineriei [...]",CERCETARE - COOPERARE
Premiile „Excelență în cercetare” la Universitatea Politehnica Timișoara,"La final de an, Universitatea Politehnica Timișoara a acordat, în cadrul tradiționalei serbări de Crăciun, premiile „Excelență în cercetare” tinerilor care au obținut rezultate remarcabile în anul universitar 2016-2017. Patru tineri au fost astfel recompensați cu Trofeul cercetării, o plachetă semnată de rectorul UPT și un grant suport în valoare de 1.000 de euro pentru [...]",EVENIMENT
"Studenții UPT își testează abilitățile în Hash Code, un concurs organizat de Google","Zeci de studenți de la Universitatea Politehnica Timișoara s-au înscris la Hash Code, concursul organizat de Google în data de 1 martie 2018, începând cu ora 19:00, ce pune la încercare abilitățile de codare ale participanților. Pentru competiție, Liga Studenţilor din Facultatea de Automatică şi Calculatoare (Liga AC) de la UPT pune și anul acesta [...]",EVENIMENT
